Object.ID,level,level2,level3,Names,Material,Materials,Object.Name,Link.Resource
501691,Aerophone,Lip Vibrated,horn,Ceramic Horn,Wood,Wood | metal | various materials,Ceramic Horn,http://www.metmuseum.org/art/collection/search/501691
501698,Aerophone,Other,Other,Flute Harmonique,Wood,Wood | metal | various materials,Flute Harmonique,http://www.metmuseum.org/art/collection/search/501698
501700,Aerophone,Free Reed,concertina / accordion,Concertina,Palisander,Palisander | leather | paper | ivory,Concertina,http://www.metmuseum.org/art/collection/search/501700
501708,Aerophone,Lip Vibrated,trumpet / trombone,Horn,Wood,Wood | leather | ivory,Horn,http://www.metmuseum.org/art/collection/search/501708
501709,Aerophone,Lip Vibrated,horn,Hunting Horn,Wood,Wood | leather | ivory or composition material,Hunting Horn,http://www.metmuseum.org/art/collection/search/501709
501712,Aerophone,Lip Vibrated,horn,Bukkehorn,Wood,Wood | metal | various materials,Bukkehorn,http://www.metmuseum.org/art/collection/search/501712
501743,Aerophone,Lip Vibrated,trumpet / trombone,Natural Horn,brass,brass | leather,Natural Horn,http://www.metmuseum.org/art/collection/search/501743
501763,Aerophone,Free Reed,harmonium,Hamoniphon,Wood,Wood | metal | various materials,Hamoniphon,http://www.metmuseum.org/art/collection/search/501763
501765,Aerophone,Free Reed,harmonium,Rocking Melodeon,Wood,Wood | various materials,Rocking Melodeon,http://www.metmuseum.org/art/collection/search/501765
501776,Aerophone,Free Reed,harmonium,Melophone,Maple,Maple | brass,Melophone,http://www.metmuseum.org/art/collection/search/501776
501786,Aerophone,Automatic,Automatic,Barrel Organ,Wood,Wood | various materials,Barrel Organ,http://www.metmuseum.org/art/collection/search/501786
501844,Aerophone,Whistle Flute,recorder,Flute,Wood,Wood | metal | various materials,Flute,http://www.metmuseum.org/art/collection/search/501844
501869,Aerophone,Free Reed,harmonium,Harmonicor,Wood,Wood | metal ivory | horn,Harmonicor,http://www.metmuseum.org/art/collection/search/501869
501874,Aerophone,Free Reed,concertina / accordion,Accordion,Wood,Wood | metal | various materials,Accordion,http://www.metmuseum.org/art/collection/search/501874
502011,Aerophone,Lip Vibrated,trumpet / trombone,Rng-Gling,Wood,Wood | metal | various materials,Rng-Gling,http://www.metmuseum.org/art/collection/search/502011
502087,Aerophone,Reed Vibrated,bagpipe,Northumbrian Small-Pipe,Wood,Wood | leather | ivory | brass,Northumbrian Small-Pipe,http://www.metmuseum.org/art/collection/search/502087
502088,Aerophone,Reed Vibrated,bagpipe,Union Pipe,Wood,Wood | velvet | leather | cloth | ivory | metal,Union Pipe,http://www.metmuseum.org/art/collection/search/502088
502136,Aerophone,Blow Hole,end-blown flute (vertical),Putorino,wood,wood | cord,Putorino,http://www.metmuseum.org/art/collection/search/502136
502181,Aerophone,Lip Vibrated,trumpet / trombone,Alpine Horn,Wood,Wood | paper,Alpine Horn,http://www.metmuseum.org/art/collection/search/502181
502189,Aerophone,Lip Vibrated,horn,Ohotniche Rogie sounding B-flat,Copper,Copper | nickel-silver,Ohotniche Rogie sounding B-flat,http://www.metmuseum.org/art/collection/search/502189
502199,Aerophone,Reed Vibrated,single reed cylindrical,Bass Clarinet,Wood,Wood | nickel-silver | brass,Bass Clarinet,http://www.metmuseum.org/art/collection/search/502199
502208,Aerophone,Lip Vibrated,horn,Falconer's Horn,Wood,Wood | metal | various materials,Falconer's Horn,http://www.metmuseum.org/art/collection/search/502208
502238,Aerophone,Reed Vibrated,double reed,Half-Contra Bassoon,Maple,Maple | brass,Half-Contra Bassoon,http://www.metmuseum.org/art/collection/search/502238
502285,Aerophone,Reed Vibrated,double reed,Tibia?,Bone,Bone | cement,Tibia?,http://www.metmuseum.org/art/collection/search/502285
502326,Aerophone,Free Reed,harmonium,Seraphine,Wood,Wood | metal | various materials,Seraphine,http://www.metmuseum.org/art/collection/search/502326
502327,Aerophone,Organ,Organ,Chamber Organ,Wood,Wood | metal | various materials,Chamber Organ,http://www.metmuseum.org/art/collection/search/502327
502342,Aerophone,Lip Vibrated,horn,Ohotniche Rogi sounding D,Wood,Wood | metal | various materials,Ohotniche Rogi sounding D,http://www.metmuseum.org/art/collection/search/502342
